Date,Open,Price,High,Low,Close,Volume,cpi
6/30/2021,176.9,84.57,178.4,175.9,177.3,775017,5.624733
6/29/2021,173,84.63,177.5,173,175.9,513447,5.624733
6/28/2021,173.8,84.44,174.4,172.6,173,328305,5.624733
6/24/2021,176,84.51,176.9,173,176.1,749280,5.624733
6/23/2021,176.6,84.36,179,175.9,176.1,523792,5.624733
6/22/2021,179,84.39,179,175.9,176.6,543269,5.624733
6/21/2021,180,84.51,181.8,177.7,179.6,1280450,5.624733
6/17/2021,171,84.62,175.6,171,174.9,605017,5.624733
6/16/2021,171,84.63,172.2,169.5,170.8,658871,5.624733
6/15/2021,171,84.62,172.7,169,171,510254,5.624733
6/14/2021,172.8,84.39,173.4,170,170.8,430072,5.624733
6/10/2021,178,84.8,178.5,174.2,174.5,1246656,5.624733
6/9/2021,176.8,84.51,179.9,175.5,176.1,1113064,5.624733
6/8/2021,178.1,84.45,180.4,175.9,176.6,971836,5.624733
6/7/2021,182.2,84.28,187.6,175.5,178.2,1244893,5.624733
6/3/2021,170.2,84.39,175,170.2,173.8,1090910,5.624733
6/2/2021,170.8,84.62,172,167.2,171.2,777051,5.624733
6/1/2021,171.7,84.4,172.7,168,168.8,1070806,5.624733
5/31/2021,170.5,84.54,173,170.2,171.7,539719,5.277149
5/27/2021,171.5,84.62,174,169.1,173.1,1221647,5.277149
5/25/2021,173.8,84.23,175,171.1,171.5,689259,5.277149
5/24/2021,175.8,84.7,176.3,172.7,173.3,727872,5.277149
5/20/2021,178.2,84.39,180.9,175.3,177,1104596,5.277149
5/19/2021,183,84.82,183.4,177.3,177.9,1723747,5.277149
5/18/2021,180,84.62,184,178,182.7,931601,5.277149
5/17/2021,180.1,84.51,183,177,177.8,1009216,5.277149
5/12/2021,187,84.51,187.4,183.5,184.1,1026214,5.277149
5/11/2021,190.1,84.45,191.6,187.5,188.9,1497955,5.277149
5/6/2021,184.9,84.62,185.8,182,184,2450265,5.277149
5/5/2021,185.8,84.39,187.3,182.7,183.5,929683,5.277149
5/4/2021,187.2,84.45,189,183.3,185.7,1778847,5.277149
5/3/2021,193,84.62,193,184.1,186.4,2190535,5.277149
4/29/2021,194.3,84.29,194.4,189.8,192,2315288,5.555157
4/28/2021,189.4,84.62,193.3,188.3,191.8,1237959,5.555157
4/27/2021,194.9,84.62,194.9,188.1,189.3,2699001,5.555157
4/26/2021,197.6,84.62,199.5,192.2,195.1,3520844,5.555157
4/22/2021,192.2,84.62,193,188.2,191.2,2324641,5.555157
4/21/2021,190,84.62,195.5,190,192.3,2228165,5.555157
4/20/2021,181.3,84.62,190.4,181.2,189.4,2552535,5.555157
4/19/2021,183.9,84.51,184.4,180.8,181.9,1029293,5.555157
4/15/2021,178,84.39,181.8,177,181.1,581062,5.555157
4/13/2021,170.1,84.51,178.3,169.1,177.2,664294,5.555157
4/12/2021,175.4,84.51,177.8,171,172.3,856884,5.555157
4/8/2021,183.5,84.62,183.5,177.7,178.1,558398,5.555157
4/7/2021,184.1,84.62,184.4,181.4,182,869398,5.555157
4/6/2021,182.9,84.35,184,180.1,182.6,874142,5.555157
4/5/2021,177.9,84.16,183.7,177.6,182.6,539496,5.555157
4/1/2021,185,84.62,185.8,181,184.8,1038316,5.555157
3/31/2021,188,84.62,188.8,183.5,185.4,1868490,5.485752
3/29/2021,188.9,84.39,191,186.6,189.1,2907704,5.485752
3/25/2021,183.7,84.2,187.5,180,186.2,2217929,5.485752
3/24/2021,189,84.37,189.4,180.6,182.7,2485452,5.485752
3/23/2021,182.1,84.45,189.9,182,189.4,2912802,5.485752
3/22/2021,179,84.62,182,172.7,181,1887036,5.485752
3/18/2021,182,84.03,182.5,177.3,180.6,1665857,5.485752
3/16/2021,185.9,84.56,187.4,181.2,183.6,848761,5.485752
3/15/2021,187,84.37,187.6,184.5,185.3,931454,5.485752
3/11/2021,187,84.39,191.5,185.2,189.7,1519626,5.485752
3/10/2021,192.7,84.14,193.5,185.8,186.4,1279809,5.485752
3/9/2021,192.9,84.79,194.2,191.2,191.8,2033894,5.485752
3/8/2021,188.1,84.45,193,187.3,191.7,1245800,5.485752
3/4/2021,187.6,84.6,193.8,187,189.6,2481008,5.485752
3/3/2021,196.1,84.54,196.9,186.7,188.4,2452052,5.485752
3/2/2021,182.4,84.59,195.4,182.4,194.1,3340105,5.485752
3/1/2021,177.1,84.59,183,172.9,181.9,1366196,5.485752
2/25/2021,180.5,84.62,185,178.1,181.5,1213863,5.352594
2/24/2021,175.9,84.79,181.9,173.6,180.2,1365800,5.352594
2/23/2021,181,84.45,181.3,171.2,172.7,1913222,5.352594
2/22/2021,188,84.06,189,178,180.8,1263839,5.352594
2/18/2021,187.5,84.62,190.5,186,187.1,1534545,5.352594
2/17/2021,191.9,84.79,193.4,187.4,189.8,4192046,5.352594
2/16/2021,198.1,84.37,199.8,189.9,191.1,3781982,5.352594
2/15/2021,182.6,84.17,195.9,182.6,194.5,3994331,5.352594
2/11/2021,172.2,84.27,174.8,167.5,169.7,2171972,5.352594
2/10/2021,166,84.44,177.3,166,171.7,2986817,5.352594
2/9/2021,151.4,84.11,164.6,151.4,164.3,2852980,5.352594
2/8/2021,165,84.63,166.8,147.3,149.7,4022811,5.352594
2/4/2021,173.5,84.22,179.2,173.2,177.7,1468624,5.352594
2/3/2021,171,84.54,174.3,169.2,172.6,2407446,5.352594
2/2/2021,176.8,84.37,178,169.7,171,2698592,5.352594
2/1/2021,184.2,84.44,187,174.2,176.5,1866134,5.352594
1/28/2021,190,84.03,191.8,181.8,183.7,3288326,5.059176
1/27/2021,192.7,84.54,193.8,185.9,188.1,2365769,5.059176
1/26/2021,198.9,84.45,200.9,190.9,192.1,2633433,5.059176
1/25/2021,214.2,84.79,215,191,200.1,7434122,5.059176
1/21/2021,199,84.37,204.8,195.6,198.2,4167421,5.059176
1/20/2021,198.9,84.54,201.4,194.4,195.3,3602186,5.059176
1/19/2021,194.1,84.13,198,191.7,195.4,2947988,5.059176
1/18/2021,186.5,84.29,194,176,189,3819809,5.059176
1/14/2021,204.9,84.15,208.9,195.1,197.6,6096522,5.059176
1/13/2021,202,84.79,203.7,193.6,194.8,4483598,5.059176
1/12/2021,205,84.28,214.9,203,205.4,5496947,5.059176
1/11/2021,193.2,84.8,204,191.1,200.9,6944336,5.059176
1/7/2021,193,84.28,194.4,173,176.5,5676440,5.059176
1/6/2021,196.1,84.15,196.5,185,189.6,5212509,5.059176
1/5/2021,214,84.28,215,185.5,188.3,8215419,5.059176
1/4/2021,203.9,84.33,205,191.2,203.2,10416650,5.059176
12/30/2020,183.1,84.33,195.5,181.3,190.5,5283358,5.299835
12/29/2020,179.9,84.79,182,177,180.2,4455748,5.299835
12/28/2020,177,84.25,178.7,172.8,176.6,3664118,5.299835
12/24/2020,172.6,85.07,175,171,174.6,3999818,5.299835
12/23/2020,162.1,84.27,171.9,161.5,170.1,4992589,5.299835
12/22/2020,165,84.45,166.7,162.8,163.6,3565739,5.299835
12/21/2020,162.2,84.49,165.5,162.2,164.7,3458179,5.299835
12/17/2020,156.6,84.51,156.7,153.1,154.8,2739145,5.299835
12/15/2020,161,84.45,162.6,153.8,155.3,4591357,5.299835
12/14/2020,154,84.37,159.8,153,159,4106594,5.299835
12/10/2020,143.2,84.18,148.4,143.2,145.9,3533433,5.299835
12/9/2020,140.6,84.63,143.4,140.1,142.7,4201459,5.299835
